cc-d-01.02.03.01,"Ständige Wohnbevölkerung nach Staatsangehörigkeitskategorie, Geschlecht und Gemeinde, am 31.12.2024",,,,,,,,
,Provisorische Jahresergebnisse,,,,,,,,
"Kanton, Bezirk und Gemeinde",Total,,,Schweizer,,,Ausländer 1,,
,Total,Mann,Frau,Total,Mann,Frau,Total,Mann,Frau
......0307 Meikirch,2597,1264,1333,2375,1144,1231,222,120,102
......0351 Bern,137963,66779,71184,102315,48335,53980,35648,18444,17204
......0352 Bolligen,6375,3083,3292,5505,2648,2857,870,435,435
......0353 Bremgarten bei Bern,4423,2126,2297,3965,1911,2054,458,215,243
......0354 Kirchlindach,3341,1635,1706,3006,1454,1552,335,181,154
......0355 Köniz,43501,20966,22535,34166,16154,18012,9335,4812,4523
......0356 Muri bei Bern,13710,6584,7126,11096,5237,5859,2614,1347,1267
......0357 Oberbalm,865,438,427,842,426,416,23,12,11
......0358 Stettlen,3382,1658,1724,2739,1326,1413,643,332,311
......0359 Vechigen,5982,2977,3005,5411,2683,2728,571,294,277
......0360 Wohlen bei Bern,9281,4472,4809,8041,3863,4178,1240,609,631
......0361 Zollikofen,11587,5666,5921,8679,4204,4475,2908,1462,1446
......0362 Ittigen,11544,5635,5909,8256,3968,4288,3288,1667,1621
......0363 Ostermundigen,18317,8956,9361,12294,5889,6405,6023,3067,2956
......0403 Bäriswil,1118,538,580,1030,489,541,88,49,39
......0535 Deisswil bei Münchenbuchsee,85,47,38,83,45,38,2,2,.
......0538 Fraubrunnen,5497,2706,2791,5047,2469,2578,450,237,213
......0540 Jegenstorf,5870,2838,3032,5195,2483,2712,675,355,320
......0541 Iffwil,445,226,219,409,207,202,36,19,17
......0543 Mattstetten,599,290,309,579,278,301,20,12,8
